Skill,Junior,Mid,Senior,All roles
Information Security,136197,270000,309850,255711
Software Engineering,150000,192750,187201,175000
Strategy,110000,163076,179413,160000
Management,89475,138272,178336,150000
Engineering,109200,120000,165252,120000
Other,105908,142500,,117000
Legal,73391,141297,165410,110209
Finance,83750,122550,165750,110000
Research,82698,140000,138944,108320
Policy,69000,116640,160500,102500
Communications & Outreach,75000,110980,144754,97500
Data,75350,132923,136000,94482
Operations,82500,105000,152438,93244
Outreach,75000,101818,125000,92629
